,At Rim,3 to <10 ft,10 to <16 ft,16 ft to <3-pt,3-pt
Jake Layman,0.801,0.401,1.001,0.287,0.257
Jakob Poeltl,0.501,0.539,0.501,0.001,0.001
Jamal Crawford,0.591,0.363,0.416,0.429,0.34400000000000003
Jamal Murray,0.587,0.405,0.303,0.289,0.329
Jameer Nelson,0.57,0.501,0.309,0.476,0.395
James Ennis,0.611,0.262,0.668,0.251,0.412
James Harden,0.697,0.353,0.40700000000000003,0.465,0.35
James Johnson,0.615,0.46900000000000003,0.591,0.416,0.34
James Jones,0.668,0.001,1.001,0.365,0.584
James Michael McAdoo,0.73,0.358,0.601,0.251,0.001
James Young,0.901,0.401,0.251,0.334,0.386
Jared Dudley,0.712,0.376,0.501,0.43,0.422
Jared Sullinger,0.584,0.144,0.501,0.287,0.168
Jarell Martin,0.426,0.215,0.501,0.321,0.347
Jarnell Stokes,1.001,0.001,0.001,0.001,0.001
Jarrett Jack,1.001,1.001,0.001,0.001,0.001
Jason Smith,0.66,0.477,0.601,0.515,0.477
Jason Terry,0.501,0.168,0.376,0.365,0.43
Jaylen Brown,0.606,0.382,0.287,0.212,0.334
Jeff Green,0.571,0.408,0.424,0.355,0.274
Jeff Teague,0.534,0.404,0.53,0.493,0.352
Jeff Withey,0.592,0.274,1.001,0.501,0.001
Jerami Grant,0.655,0.426,0.092,0.293,0.38
Jeremy Lamb,0.653,0.458,0.501,0.432,0.246
Jeremy Lin,0.611,0.456,0.5630000000000001,0.445,0.365
Jerian Grant,0.606,0.274,0.434,0.406,0.375
Jerryd Bayless,0.701,0.334,0.126,0.001,0.401
Jimmy Butler,0.59,0.506,0.419,0.361,0.341
Joakim Noah,0.535,0.223,0.001,0.001,0.001
Jodie Meeks,0.501,0.463,0.334,0.41,0.405
Joe Harris,0.545,0.436,0.501,0.287,0.391
Joe Ingles,0.728,0.365,0.001,0.321,0.428
Joe Johnson,0.72,0.487,0.394,0.381,0.40700000000000003
Joe Young,0.546,0.501,0.301,0.413,0.218
Joel Anthony,0.668,0.501,0.001,0.001,0.001
Joel Bolomboy,1.001,1.001,0.001,0.001,0.001
Joel Embiid,0.637,0.371,0.371,0.487,0.368
Joffrey Lauvergne,0.619,0.389,0.626,0.279,0.356
John Henson,0.639,0.444,0.287,0.251,0.001
John Jenkins,0.334,0.501,0.001,0.001,0.001
John Lucas III,1.001,0.001,0.001,0.001,0.001
John Wall,0.59,0.368,0.365,0.413,0.31
Johnny O\'Bryant,0.801,0.001,0.668,0.001,0.668
Jon Leuer,0.791,0.441,0.548,0.361,0.303
Jonas Jerebko,0.695,0.372,0.251,0.572,0.36
Jonas Valanciunas,0.607,0.548,0.443,0.359,0.001
Jonathan Gibson,0.413,0.334,0.557,0.334,0.334
Jonathon Simmons,0.601,0.319,0.422,0.365,0.289
Jordan Clarkson,0.622,0.437,0.433,0.45,0.329
Jordan Farmar,0.001,0.001,0.445,0.001,0.001
Jordan Hill,0.501,0.001,0.001,0.668,0.001
Jordan McRae,0.463,0.354,0.112,0.651,0.363
Jordan Mickey,0.572,0.201,0.501,0.001,0.001
Jose Calderon,0.751,0.001,0.334,0.501,0.354
Josh Huestis,1.001,1.001,0.501,0.001,0.001
Josh McRoberts,0.589,0.06,0.177,0.39,0.42
Josh Richardson,0.525,0.43,0.546,0.393,0.308
Jrue Holiday,0.614,0.435,0.525,0.315,0.375
Juan Hernangomez,0.609,0.215,0.001,0.201,0.432
Julius Randle,0.642,0.35,0.513,0.389,0.208
Justin Anderson,0.687,0.35,0.251,0.072,0.299
Justin Hamilton,0.741,0.473,0.413,0.43,0.298
Justin Holiday,0.596,0.39,0.424,0.401,0.36
Justise Winslow,0.46,0.38,0.215,0.305,0.19
Jusuf Nurkic,0.588,0.428,0.334,0.321,0.001
K.J. McDaniels,0.641,0.418,0.334,0.001,0.334
