,At Rim,3 to <10 ft,10 to <16 ft,16 ft to <3-pt,3-pt
Reggie Bullock,18,6,6,8,33
Reggie Jackson,122,103,65,88,150
Reggie Williams,5,3,3,5,12
Richard Jefferson,74,22,8,16,133
Richaun Holmes,97,38,15,19,29
Ricky Rubio,84,19,43,114,137
Robert Covington,154,54,10,17,333
Robin Lopez,178,196,51,150,2
Rodney Hood,68,81,67,61,240
Rodney McGruder,71,60,21,25,161
Rodney Stuckey,47,28,37,45,47
Ron Baker,36,8,4,9,45
Rondae Hollis-Jefferson,156,69,48,28,54
Ronnie Price,2,1,1,1,1
Roy Hibbert,57,46,18,27,1
Rudy Gay,104,94,63,72,114
Rudy Gobert,356,62,4,2,1
Russell Westbrook,428,97,269,256,400
Ryan Anderson,99,54,22,60,409
Ryan Kelly,2,2,3,2,6
Salah Mejri,65,9,6,10,3
Sam Dekker,159,38,6,11,165
Sasha Vujacic,3,5,23,40,1
Sean Kilpatrick,173,95,44,59,259
Semaj Christon,48,26,30,22,45
Serge Ibaka,126,143,126,126,232
Sergio Rodriguez,60,48,52,80,205
Seth Curry,73,71,48,108,248
Shabazz Muhammad,142,101,49,21,109
Shabazz Napier,21,8,3,16,68
Shaun Livingston,49,33,129,29,2
Sheldon McClellan,14,7,10,11,27
Shelvin Mack,75,57,48,33,98
Skal Labissiere,10,18,7,7,2
Solomon Hill,90,23,18,11,185
Spencer Dinwiddie,61,38,20,20,53
Spencer Hawes,80,38,27,22,56
Stanley Johnson,33,42,38,33,97
Stephen Curry,236,77,51,132,588
Stephen Zimmerman,4,5,4,4,1
Steve Novak,2,7,1,1,1
Steven Adams,287,188,24,3,3
T.J. McConnell,121,85,65,35,33
T.J. Warren,156,136,106,93,81
Taj Gibson,235,164,82,74,14
Tarik Black,147,59,8,5,3
Taurean Waller-Prince,39,22,15,10,46
Terrence Jones,196,150,28,42,76
Terrence Ross,61,44,61,81,280
Terry Rozier,91,31,32,31,126
Thabo Sefolosha,117,29,29,54,89
Thaddeus Young,180,138,22,42,113
Thomas Robinson,81,25,9,7,1
Thon Maker,27,11,6,8,40
Tim Frazier,96,53,22,55,89
Tim Hardaway,174,53,40,65,299
Tim Quarterman,4,3,2,2,5
Timofey Mozgov,144,86,42,56,2
Timothe Luwawu-Cabarrot,68,21,2,4,52
Tobias Harris,159,177,134,91,234
Tomas Satoransky,38,27,14,12,29
Toney Douglas,16,11,12,20,35
Tony Allen,291,75,16,31,35
Tony Parker,119,103,49,108,48
Tony Snell,61,14,22,27,255
Treveon Graham,6,3,2,3,9
Trevor Ariza,120,33,10,21,430
Trevor Booker,209,131,23,33,58
Trey Burke,36,23,47,75,63
Trey Lyles,73,73,34,39,191
Tristan Thompson,232,82,14,4,4
Troy Daniels,19,12,16,56,237
Troy Williams,58,13,5,9,42
Ty Lawson,114,63,53,86,102
Tyler Ennis,22,21,4,6,20
Tyler Johnson,147,88,55,135,184
Tyler Ulis,17,27,42,42,22
Tyler Zeller,66,26,3,37,2
Tyreke Evans,111,41,6,30,84
Tyson Chandler,205,23,2,2,1
Tyus Jones,25,19,10,11,59
Udonis Haslem,12,6,5,3,1
Victor Oladipo,176,62,75,91,255
Vince Carter,70,34,17,31,210
Wade Baldwin,26,12,19,13,19
Walter Tavares,2,1,1,1,1
Wayne Ellington,21,10,13,87,261
Wesley Johnson,28,7,7,32,99
Wesley Matthews,84,57,81,83,388
Will Barton,167,94,51,41,173
Willie Cauley-Stein,129,89,30,21,3
Willie Reed,117,55,21,11,4
Willy Hernangomez,172,49,24,15,13
Wilson Chandler,194,151,69,83,247
Yogi Ferrell,37,11,22,35,87
Zach LaVine,194,44,36,130,310
Zach Randolph,201,205,80,148,70
Zaza Pachulia,145,33,15,21,1
